"Year","Users_Percentage","Total_population","Fixed_telephone_subscriptions","Mobile_phone_subscriptions","GDP_per_capita_current_US_Dollar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","0","25518074","812000","470","2431.5513596887","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991","0","26133905","883120","4781","1749.2860874897","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1992","0","26748303","962247","4781","1794.6235074052","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1993","0","27354327","1068094","4781","1825.875096567","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1994","0.000360674","27937006","1122409","1348","1522.8252028483","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1995","0.001768954","28478022","1176316","4691","1466.5446803774","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1996","0.001738533","28984634","1278142","11700","1619.5324124278","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1997","0.010268463","29476031","1400343","17400","1634.4674098813","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1998","0.020238555","29924668","1477000","18000","1610.3029776133","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1999","0.199523843","30346083","1600000","72000","1602.8649145582","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","0.491705679","30774621","1761327","86000","1780.376062806","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","0.646114017","31200985","1880000","100000","1754.5823609757","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2002","1.59164126","31624696","1950000","450244","1794.811114232","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","2.195359731","32055883","2079464","1446927","2117.0482289929","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","4.634475088","32510186","2486720","4882414","2624.7952315195","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","5.843942092","32956690","2572000","13661355","3131.3281898968","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","7.375984956","33435080","2841297","20997954","3500.1345938274","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","9.451190626","33983827","3068409","27562721","3971.8034882822","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","10.18","34569592","3069140","27031472","4946.5640172076","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","11.23","35196037","2576165","32729824","3898.4787878732","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","12.5","35856344","2922731","32780165","4495.9214756302","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","14.9","36543541","3059336","35615926","5473.2818261167","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","18.2","37260563","3289363","37527703","5610.7332819823","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","22.5","38000626","3132829","39517045","5519.7775755237","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","29.5","38760168","3098787","43298174","5516.2294403965","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","38.2","39543154","3267592","43227643","4197.419984914","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","42.94552688","40339329","3404709","47041321","3967.2006474381","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","47.69105515","41136546","4100982","45845665","4134.9360865617","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018","49.03846808","41927007","4200919","47154264","4171.7903875555","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","58.97757455","42705368","4635661","45425533","4021.9832660524","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","63.94999611","43451666","4785763","45555673","3354.1531637159","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","70.77","44177969","5097059","47015757","3700.314697282","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
